"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",2,59000000,"１ＬＤＫ",45,"2014年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,120000000,"２ＬＤＫ",55,"2023年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町","",38000000,"１ＤＫ",40,"2007年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",3,65000000,"２ＬＤＫ",45,"2016年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","市ケ谷",3,45000000,"１Ｋ",35,"2005年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","隼町","半蔵門",2,21000000,"１Ｒ",30,"1983年","ＳＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","麹町",4,30000000,"１ＬＤＫ",45,"1977年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","永田町",1,600000000,"２ＬＤＫ",140,"2009年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","半蔵門",3,60000000,"２ＬＤＫ",50,"1982年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","半蔵門",2,32000000,"１Ｒ",35,"1980年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",6,230000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",5,86000000,"２ＤＫ",50,"1996年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",3,45000000,"１ＬＤＫ",40,"1979年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,79000000,"１ＬＤＫ",40,"2023年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",2,60000000,"１ＬＤＫ",45,"2014年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",3,14000000,"１Ｒ",20,"1978年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",5,59000000,"１ＬＤＫ",45,"2009年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",3,68000000,"１ＬＤＫ",45,"2016年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",4,23000000,"１Ｋ",20,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",4,12000000,"１Ｒ",20,"1981年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",7,23000000,"１Ｋ",30,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",8,46000000,"１ＬＤＫ",35,"2015年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,86000000,"１ＬＤＫ",40,"2023年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","市ケ谷",5,260000000,"２ＬＤＫ",85,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","市ケ谷",5,250000000,"２ＬＤＫ",70,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","半蔵門",2,20000000,"１Ｋ",20,"1979年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",5,110000000,"２ＬＤＫ",60,"1996年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",3,43000000,"２ＤＫ",40,"1979年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",3,40000000,"１Ｒ",40,"1979年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",4,300000000,"３ＬＤＫ",85,"2014年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",1,320000000,"３ＬＤＫ",80,"2009年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",4,720000000,"３ＬＤＫ",155,"2007年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",2,260000000,"３ＬＤＫ",80,"2013年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",5,230000000,"１ＬＤＫ",65,"2014年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",3,320000000,"２ＬＤＫ",85,"2014年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",3,220000000,"２ＬＤＫ",65,"2014年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",4,310000000,"２ＬＤＫ",95,"2009年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","鍛冶町","神田(東京)",2,52000000,"２ＬＤＫ",35,"2020年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田鍛冶町","神田(東京)",2,97000000,"２ＬＤＫ",55,"2012年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田佐久間町","秋葉原",7,64000000,"１ＬＤＫ",40,"2017年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田佐久間町","浅草橋",5,140000000,"２ＬＤＫ",75,"2016年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,140000000,"１ＬＤＫ",55,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","九段下",2,96000000,"２ＬＤＫ",60,"1998年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,170000000,"２ＬＤＫ",75,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",2,70000000,"１ＬＤＫ",35,"2023年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","九段下",2,100000000,"１ＬＤＫ＋Ｓ",55,"2000年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",2,62000000,"１ＬＤＫ",30,"2023年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",2,62000000,"１ＬＤＫ",30,"2023年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,230000000,"２ＬＤＫ",70,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,180000000,"２ＬＤＫ",70,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","淡路町",2,26000000,"１Ｒ",25,"2004年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",6,44000000,"１ＤＫ",35,"2007年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田司町","神田(東京)",6,39000000,"１Ｋ",35,"2005年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田司町","神田(東京)",6,73000000,"１ＬＤＫ",40,"2015年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田練塀町","秋葉原",4,20000000,"１Ｒ",20,"1986年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","神田(東京)",4,98000000,"２ＬＤＫ",70,"2002年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","岩本町",2,110000000,"２ＬＤＫ",70,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","岩本町",2,110000000,"３ＬＤＫ",70,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","岩本町",1,120000000,"２ＬＤＫ",80,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田美土代町","新御茶ノ水",1,80000000,"１ＬＤＫ",40,"2017年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",3,190000000,"２ＬＤＫ",70,"2023年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","半蔵門",2,120000000,"３ＬＤＫ",80,"1981年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",2,230000000,"２ＬＤＫ",75,"2011年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","五番町","市ケ谷",3,150000000,"１ＬＤＫ",90,"1987年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","五番町","市ケ谷",2,71000000,"２ＬＤＫ",75,"1979年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",5,390000000,"３ＬＤＫ",140,"2011年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","市ケ谷",4,90000000,"１ＬＤＫ",55,"1985年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",5,240000000,"２ＬＤＫ",90,"2003年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",4,250000000,"２ＬＤＫ",75,"2008年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",3,260000000,"２ＬＤＫ",90,"2003年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","二番町","麹町",2,18000000,"１Ｒ",15,"1972年","ＳＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","六番町","麹町",4,300000000,"１ＬＤＫ",80,"2019年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","六番町","麹町",2,280000000,"３ＬＤＫ",105,"1999年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","鍛冶町","神田(東京)",2,130000000,"２ＬＤＫ",55,"2020年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田佐久間町","浅草橋",5,60000000,"１ＬＤＫ",35,"2019年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,350000000,"３ＬＤＫ",105,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","九段下",3,30000000,"１Ｋ",25,"2011年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,40000000,"２ＤＫ",55,"1969年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",3,71000000,"１ＬＤＫ",35,"2021年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",5,34000000,"１Ｋ",25,"2004年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",4,95000000,"１ＬＤＫ",50,"2024年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",3,33000000,"１Ｒ",30,"2005年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田多町","神田(東京)",3,32000000,"１Ｋ",25,"2004年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","岩本町",3,48000000,"１ＬＤＫ",40,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田東松下町","岩本町",2,100000000,"２ＬＤＫ",60,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田美土代町","新御茶ノ水",1,83000000,"１ＬＤＫ＋Ｓ",40,"2017年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",3,450000000,"３ＬＤＫ",125,"2011年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","半蔵門",1,74000000,"２ＤＫ＋Ｓ",60,"1982年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","半蔵門",3,110000000,"１ＬＤＫ＋Ｓ",60,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",1,200000000,"２ＬＤＫ",55,"2019年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","半蔵門",1,23000000,"１Ｋ",20,"1982年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",3,170000000,"１ＬＤＫ",55,"2023年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","五番町","市ケ谷",4,70000000,"１ＬＤＫ",55,"1971年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","五番町","市ケ谷",4,59000000,"１ＬＤＫ",40,"1971年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",8,45000000,"１Ｒ",25,"1999年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",3,290000000,"３ＬＤＫ",90,"2003年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",5,420000000,"３ＬＤＫ",90,"2014年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",3,200000000,"１ＬＤＫ",75,"2003年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","二番町","麹町",5,51000000,"１Ｒ",35,"1997年","ＳＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","二番町","麹町",2,21000000,"１Ｒ",15,"1972年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","大手町(東京)",4,150000000,"２ＬＤＫ",55,"2022年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","神田(東京)",2,31000000,"１Ｋ",25,"2005年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","大手町(東京)",5,78000000,"１ＤＫ",40,"2019年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","大手町(東京)",5,130000000,"２ＬＤＫ",60,"2015年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田淡路町","淡路町",2,28000000,"１Ｒ",30,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田淡路町","新御茶ノ水",1,44000000,"１Ｒ",30,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田淡路町","新御茶ノ水",3,290000000,"２ＬＤＫ",70,"2013年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田淡路町","新御茶ノ水",3,240000000,"２ＬＤＫ",65,"2013年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","御茶ノ水",1,19000000,"１Ｒ",20,"1977年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","御茶ノ水",6,18000000,"１Ｒ",15,"1975年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","竹橋",5,80000000,"１ＬＤＫ",55,"2007年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","神保町",5,31000000,"１Ｋ",25,"2000年","ＳＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","大手町(東京)",6,130000000,"２ＬＤＫ",60,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","岩本町",5,42000000,"１ＤＫ",30,"2006年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","秋葉原",9,19000000,"１Ｒ",25,"1984年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","浅草橋",2,47000000,"１ＬＤＫ",35,"2021年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","岩本町",5,54000000,"１ＬＤＫ",45,"2006年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","浅草橋",3,27000000,"１Ｋ",25,"2004年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","浅草橋",3,50000000,"２ＬＤＫ",60,"1982年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","馬喰町",3,140000000,"３ＬＤＫ",75,"2014年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","馬喰町",5,59000000,"１ＬＤＫ",40,"2012年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田三崎町","水道橋",4,55000000,"１ＬＤＫ",35,"2013年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","大手町(東京)",5,110000000,"１ＬＤＫ",50,"2015年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","大手町(東京)",6,110000000,"１ＬＤＫ",40,"2022年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","神田(東京)",5,18000000,"１Ｒ",20,"1979年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","水道橋",6,210000000,"３ＬＤＫ",85,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","水道橋",6,190000000,"２ＬＤＫ",65,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","御茶ノ水",1,20000000,"１Ｒ",15,"1977年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","御茶ノ水",2,12000000,"１Ｒ",20,"1977年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","大手町(東京)",5,79000000,"１ＬＤＫ",45,"2017年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","新御茶ノ水",5,27000000,"１Ｋ",25,"2000年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","大手町(東京)",6,69000000,"１ＤＫ",35,"2019年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","神保町",5,26000000,"１Ｋ",25,"2000年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","小川町(東京)",7,70000000,"１ＬＤＫ",40,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","九段下",7,72000000,"１ＬＤＫ",45,"2000年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","市ケ谷",6,29000000,"１Ｋ",25,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","秋葉原",10,21000000,"１Ｒ",50,"1984年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","馬喰町",5,67000000,"１ＬＤＫ",45,"2012年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","岩本町",4,26000000,"１Ｋ",25,"2001年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田三崎町","水道橋",3,77000000,"２ＬＤＫ",45,"2013年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田三崎町","水道橋",3,66000000,"１ＬＤＫ",35,"2013年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","飯田橋","飯田橋",1,110000000,"２ＬＤＫ",65,"1984年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","飯田橋","九段下",4,140000000,"１ＬＤＫ",55,"2003年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",4,280000000,"３ＬＤＫ",140,"1977年","ＳＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",2,92000000,"１ＬＤＫ",60,"1972年","ＳＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",5,52000000,"１ＬＤＫ",45,"1964年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",1,87000000,"１ＤＫ＋Ｓ",65,"1970年","ＳＲＣ","","","２種住居","","","2025年第1四半期","改装済み",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",2,130000000,"２ＬＤＫ",85,"1972年","ＳＲＣ","","","２種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田和泉町","秋葉原",4,22000000,"１Ｋ",25,"2005年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田小川町","淡路町",2,99000000,"１ＬＤＫ",50,"2010年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","神田(東京)",5,30000000,"１ＤＫ",25,"2005年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","秋葉原",3,83000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","神田(東京)",5,160000000,"２ＬＤＫ",60,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","神田(東京)",2,50000000,"１Ｋ",25,"2018年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","末広町(東京)",3,280000000,"３ＬＤＫ",100,"2004年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","末広町(東京)",2,110000000,"２ＬＤＫ",60,"2022年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
